iter	Logloss
0	0.6901183008
1	0.6870262766
2	0.6844014597
3	0.6810962714
4	0.6778451995
5	0.6746374564
6	0.6715949077
7	0.6684236475
8	0.665396995
9	0.6622153937
10	0.6591506695
11	0.6561733973
12	0.6533060357
13	0.6506064666
14	0.6476657319
15	0.6446117815
16	0.6420576587
17	0.6392846762
18	0.6373778429
19	0.6347004267
20	0.6323366058
21	0.6296980761
22	0.6271745929
23	0.6244281661
24	0.6216852591
25	0.6199598317
26	0.6175104554
27	0.6151626337
28	0.6128644194
29	0.6102906514
30	0.6079331219
31	0.6054776602
32	0.6032611234
33	0.6011263138
34	0.5991700628
35	0.5968145257
36	0.5944080741
37	0.5927095807
38	0.5903650717
39	0.5881660496
40	0.5863875168
41	0.5844744314
42	0.5822515375
43	0.5801226692
44	0.5781169319
45	0.5765606886
46	0.5748026811
47	0.5728164782
48	0.5706453127
49	0.5686954751
50	0.5671310435
51	0.5650749927
52	0.5631958833
53	0.5613805986
54	0.5597469241
55	0.5580252226
56	0.556218349
57	0.5550080106
58	0.5531998527
59	0.5513667981
60	0.5499070896
61	0.5485604016
62	0.5473212971
63	0.545503025
64	0.5439079748
65	0.5421678081
66	0.5404564513
67	0.5390571365
68	0.537613531
69	0.5364658026
70	0.5346179441
71	0.5329979693
72	0.5320818941
73	0.5306669566
74	0.5290772117
75	0.527661044
76	0.5262241942
77	0.5254492656
78	0.5239123656
79	0.5225519009
80	0.5210464779
81	0.5203096179
82	0.5189758592
83	0.5177546358
84	0.5163624137
85	0.515266184
86	0.5138209822
87	0.5126994853
88	0.5114085922
89	0.510254993
90	0.5090814983
91	0.5076552602
92	0.5063483667
93	0.5052673943
94	0.5041099921
95	0.5030791962
96	0.5020022782
97	0.5008804301
98	0.4998391103
99	0.4988059812
100	0.4977893839
101	0.4966962838
102	0.4956832881
103	0.4946098706
104	0.4934744665
105	0.4923943341
106	0.4912121092
107	0.4900713952
108	0.4890057387
109	0.4885228267
110	0.4877606801
111	0.486971931
112	0.4858366274
113	0.4847247403
114	0.4838365617
115	0.4829611758
116	0.4821775202
117	0.4812622276
118	0.4801729866
119	0.4794672201
120	0.4785012199
121	0.4775506486
122	0.4765230246
123	0.475719339
124	0.4749431718
125	0.4744808074
126	0.4737161924
127	0.4730898901
128	0.4723712669
129	0.4719333037
130	0.4710688735
131	0.4702647199
132	0.4693001404
133	0.4684526812
134	0.4678137814
135	0.4668908451
136	0.4662229877
137	0.4653773043
138	0.4647004611
139	0.4639592377
140	0.4635827289
141	0.4627577594
142	0.4621030944
143	0.4617148421
144	0.4608792766
145	0.4603437812
146	0.4594838511
147	0.4587522067
148	0.4579841244
149	0.4572851161
150	0.456477825
151	0.4559807362
152	0.4555441364
153	0.4552360362
154	0.4548178708
155	0.4541241488
156	0.453544043
157	0.4529901602
158	0.4524900888
159	0.4518976842
160	0.4513545659
161	0.4506051342
162	0.4498807335
163	0.4495117051
164	0.4487891474
165	0.448229628
166	0.4475925486
167	0.4470178238
168	0.4464904838
169	0.4460889245
170	0.4454309025
171	0.444832254
172	0.4441798245
173	0.4436749276
174	0.4430703118
175	0.4424995481
176	0.4421905082
177	0.4415864483
178	0.4409484209
179	0.4405518573
180	0.440193879
181	0.4398257166
182	0.4393106896
183	0.4388791301
184	0.4385774542
185	0.4381806451
186	0.4377399856
187	0.4372793302
188	0.4367194056
189	0.4364237428
190	0.4359843734
191	0.4354684128
192	0.4349578927
193	0.4344252482
194	0.433865814
195	0.4333581121
196	0.4329068044
197	0.4325565827
198	0.4321859994
199	0.4317723297
200	0.4314128261
201	0.4312381306
202	0.4307420983
203	0.4302490013
204	0.4298692891
205	0.4297026516
206	0.42923004
207	0.4286855183
208	0.4283277447
209	0.4279441332
210	0.4274968728
211	0.4271779852
212	0.4267992372
213	0.4263870844
214	0.4260512003
215	0.4256913688
216	0.4251407365
217	0.4247260106
218	0.4243717398
219	0.4241606257
220	0.4237632563
221	0.423556793
222	0.4233808987
223	0.4231467595
224	0.4227767743
225	0.4225180559
226	0.4223233946
227	0.4220558578
228	0.4216538861
229	0.421309003
230	0.4208863715
231	0.4206607795
232	0.4204031933
233	0.4200831364
234	0.4197112728
235	0.4194082139
236	0.4190312779
237	0.4186300023
238	0.4183816497
239	0.417967885
240	0.4176790628
241	0.4174155284
242	0.4171884495
243	0.4168758161
244	0.4165679735
245	0.416191681
246	0.4158524369
247	0.4154923571
248	0.4152858652
249	0.414881712
250	0.414645961
251	0.4142915242
252	0.4141118461
253	0.413863488
254	0.4135180183
255	0.4131567076
256	0.4127511405
257	0.4123268738
258	0.4119335773
259	0.4115152183
